Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2027,2,28,302.0459116,285.3831847,273.0744193,265.2548351,260.5184549,257.353453,259.3704422,263.440765,273.8686832,292.9825235,308.5064441,315.2004532,320.3033367,323.9565304,329.1383385,331.607787,336.909865,342.2596069,343.4948235,353.1294758,362.1506149,356.5821771,342.5212336,321.255937
2027,3,1,295.5917442,279.325175,267.7587121,260.7296402,257.0636791,258.1550939,269.253668,285.9354316,299.1726767,315.3661959,328.565029,335.6326012,342.9390956,349.2371601,354.0797794,361.5129972,367.2012289,370.3621863,369.5578051,372.8282575,380.3320767,372.0350558,359.4684808,332.4607287
2027,3,2,304.6051177,285.2175352,274.5556964,266.7648037,262.7942267,262.8940772,275.168925,293.6699125,306.9903573,320.0787229,332.1195746,340.8533589,347.2913265,349.0945206,353.8191097,361.6084316,365.1574895,370.3831894,367.6938932,373.7054711,384.5692052,376.5662348,361.6972773,335.8482199
2027,3,3,307.7511345,290.1562441,277.9158086,269.3813609,264.5593217,265.5096914,275.2945415,291.0033745,303.3254257,314.2867784,328.7825856,339.8575998,343.2232213,351.6085797,356.7556389,364.5880554,370.1512452,372.9811075,370.0161961,377.0500249,383.3985217,371.9522688,355.7600531,330.3074582
2027,3,4,302.5031863,285.8418731,275.1304588,268.0806047,262.0008873,262.3450399,273.9559014,292.5620812,305.9037506,319.0886914,331.1811751,338.097016,343.6328945,347.6654596,349.4286452,353.2031753,356.6201762,360.6093254,358.6601828,368.5000552,375.9491355,368.2181255,352.7750077,327.7801716
2027,3,5,300.9810597,285.6177544,273.2519665,266.7996377,261.943892,262.1410432,272.6398252,288.5244836,302.4515065,316.5849657,328.3560347,335.5794963,341.4281308,343.3771711,346.6724566,353.478669,356.118544,358.1887299,356.9697759,367.2444504,375.1022268,365.8044871,352.07022,329.3965019
2027,3,6,306.3685257,290.6675705,280.4608614,271.7010272,267.9476481,267.8994164,272.3208292,281.9088219,298.5245972,318.8078351,334.1312529,341.7854458,347.2078624,351.9618426,355.4718198,356.4330019,355.4440243,355.1744915,355.2034429,363.8557844,367.2799483,356.3448453,341.783294,321.8036228
2027,3,7,313.0448785,297.230659,287.146536,278.4360976,274.8289572,274.4261905,277.6850085,281.898275,293.5670256,310.6262598,327.3728372,337.7693043,338.9224398,340.9706422,341.1276578,345.9073535,348.1517695,349.4365898,350.6991197,358.1021956,369.814029,364.7327557,351.5538543,328.1883288
2027,3,8,302.5623693,287.9079625,276.5831203,269.8520413,266.3358483,266.9717989,281.5562855,301.1016464,313.9279098,329.0823388,343.3851986,351.9996755,355.7752629,360.486295,367.246304,374.8483182,378.1219605,381.2017991,379.3449208,391.8752047,401.4180974,392.5968789,376.7710701,349.9321336
2027,3,9,321.3615872,305.7670487,293.635128,285.1516704,283.6812444,284.0218988,296.4082416,314.966974,327.3993233,340.713397,355.2942037,361.9941978,369.0595787,372.2674825,379.2983793,387.8312754,391.7768325,395.6345921,397.8835282,401.4601834,412.1902288,403.5964559,386.2695186,358.201571
2027,3,10,332.3219553,311.8939181,298.47819,292.0344914,286.1726474,284.9541692,297.0765098,313.131461,328.8466091,344.445359,355.8199651,362.6376012,368.0603154,370.6963103,377.463222,388.4882663,394.7752528,404.7076415,403.3217918,406.8915583,415.5473219,403.6758974,385.8958229,358.1551114
2027,3,11,327.750004,309.6928441,297.2095276,290.0453151,285.2042198,284.8704576,297.7870243,312.5078538,326.0450422,338.4403279,346.634684,355.7759443,363.7485708,367.3231314,376.4286088,383.2685189,387.4580468,393.1306978,393.4129454,395.1725286,404.4442997,393.4121874,375.5127498,350.8863622
2027,3,12,322.5337628,303.6526137,290.1583821,282.4544506,277.5400975,279.1830525,289.2466521,303.4293289,322.3643043,337.3476448,349.2812865,354.6159814,360.2059281,363.3289229,369.9570074,374.0241914,379.3796502,383.563475,382.5630913,387.3633103,395.0979881,385.3859151,371.5448566,348.9818336
